변환,원자료
"1997/07",""
"1997/08","11.03"
"1997/09","11.46"
"1997/10","11.76"
"1997/11","11.96"
"1997/12","13.23"
"1998/01","17.60"
"1998/02","17.39"
"1998/03","18.23"
"1998/04","17.42"
"1998/05","16.23"
"1998/06","14.89"
"1998/07","12.64"
"1998/08","10.42"
"1998/09","9.56"
"1998/10","8.38"
"1998/11","7.39"
"1998/12","7.57"
"1999/01","7.31"
"1999/02","7.16"
"1999/03","6.93"
"1999/04","6.05"
"1999/05","5.91"
"1999/06","5.71"
"1999/07","5.85"
"1999/08","6.34"
"1999/09","6.41"
"1999/10","8.30"
"1999/11","6.85"
"1999/12","6.87"
"2000/01","6.95"
"2000/02","6.63"
"2000/03","6.98"
"2000/04","6.90"
"2000/05","6.94"
"2000/06","7.02"
"2000/07","6.79"
"2000/08","6.84"
"2000/09","6.72"
"2000/10","6.90"
"2000/11","6.73"
"2000/12","6.80"
"2001/01","6.62"
"2001/02","6.03"
"2001/03","5.98"
"2001/04","5.85"
"2001/05","5.84"
"2001/06","5.81"
"2001/07","5.72"
"2001/08","5.20"
"2001/09","4.89"
"2001/10","4.62"
"2001/11","4.51"
"2001/12","4.55"
"2002/01","4.62"
"2002/02","4.55"
"2002/03","4.45"
"2002/04","4.53"
"2002/05","4.44"
"2002/06","4.36"
"2002/07","4.51"
"2002/08","4.49"
"2002/09","4.52"
"2002/10","4.44"
"2002/11","4.30"
"2002/12","4.33"
"2003/01","4.49"
"2003/02","4.24"
"2003/03","4.12"
"2003/04","4.20"
"2003/05","3.92"
"2003/06","3.69"
"2003/07","3.82"
"2003/08","3.67"
"2003/09","3.54"
"2003/10","3.50"
"2003/11","3.60"
"2003/12","3.75"
"2004/01","3.81"
"2004/02","3.61"
"2004/03","3.52"
"2004/04","3.57"
"2004/05","3.49"
"2004/06","3.49"
"2004/07","3.51"
"2004/08","3.39"
"2004/09","3.34"
"2004/10","3.22"
"2004/11","3.22"
"2004/12","3.15"
"2005/01","3.21"
"2005/02","3.23"
"2005/03","3.31"
"2005/04","3.24"
"2005/05","3.21"
"2005/06","3.22"
"2005/07","3.21"
"2005/08","3.24"
"2005/09","3.33"
"2005/10","3.50"
"2005/11","3.62"
"2005/12","3.71"
"2006/01","3.85"
"2006/02","3.84"
"2006/03","3.90"
"2006/04","3.89"
"2006/05","3.93"
"2006/06","4.00"
"2006/07","4.10"
"2006/08","4.16"
"2006/09","4.25"
"2006/10","4.25"
"2006/11","4.32"
"2006/12","4.33"
"2007/01","4.41"
"2007/02","4.48"
"2007/03","4.41"
"2007/04","4.47"
"2007/05","4.57"
"2007/06","4.55"
"2007/07","4.60"
"2007/08","4.74"
"2007/09","4.82"
"2007/10","4.82"
"2007/11","5.08"
"2007/12","5.72"
"2008/01","5.87"
"2008/02","5.52"
"2008/03","5.32"
"2008/04","5.37"
"2008/05","5.47"
"2008/06","5.36"
"2008/07","5.52"
"2008/08","5.63"
"2008/09","5.59"
"2008/10","5.76"
"2008/11","5.74"
"2008/12","5.26"
"2009/01","3.82"
"2009/02","3.56"
"2009/03","2.89"
"2009/04","2.92"
"2009/05","2.90"
"2009/06","2.81"
"2009/07","2.94"
"2009/08","3.00"
"2009/09","3.14"
"2009/10","3.40"
"2009/11","3.36"
"2009/12","3.59"
"2010/01","3.55"
"2010/02","3.49"
"2010/03","3.33"
"2010/04","3.03"
"2010/05","2.93"
"2010/06","2.96"
"2010/07","3.09"
"2010/08","3.01"
"2010/09","3.07"
"2010/10","3.05"
"2010/11","3.08"
"2010/12","3.20"
"2011/01","3.26"
"2011/02","3.47"
"2011/03","3.60"
"2011/04","3.71"
"2011/05","3.62"
"2011/06","3.60"
"2011/07","3.76"
"2011/08","3.79"
"2011/09","3.66"
"2011/10","3.89"
"2011/11","3.86"
"2011/12","3.71"
"2012/01","3.84"
"2012/02","3.76"
"2012/03","3.79"
"2012/04","3.85"
"2012/05","3.77"
"2012/06","3.63"
"2012/07","3.42"
"2012/08","3.25"
"2012/09","3.24"
"2012/10","3.18"
"2012/11","3.13"
"2012/12","3.16"
"2013/01","3.06"
"2013/02","3.02"
"2013/03","2.87"
"2013/04","2.83"
"2013/05","2.81"
"2013/06","2.75"
"2013/07","2.63"
"2013/08","2.61"
"2013/09","2.65"
"2013/10","2.64"
"2013/11","2.64"
"2013/12","2.65"
"2014/01","2.64"
"2014/02","2.61"
"2014/03","2.52"
"2014/04","2.59"
"2014/05","2.60"
"2014/06","2.59"
"2014/07","2.55"
"2014/08","2.44"
"2014/09","2.34"
"2014/10","2.24"
"2014/11","2.08"
"2014/12","2.16"
"2015/01","2.13"
"2015/02","2.09"
"2015/03","1.95"
"2015/04","1.84"
"2015/05","1.80"
"2015/06","1.66"
"2015/07","1.58"
"2015/08","1.56"
"2015/09","1.54"
"2015/10","1.52"
"2015/11","1.53"
"2015/12","1.60"
"2016/01","1.57"
"2016/02","1.52"
"2016/03","1.52"
"2016/04","1.54"
"2016/05","1.55"
"2016/06","1.39"
"2016/07","1.28"
"2016/08","1.36"
"2016/09","1.30"
"2016/10","1.31"
"2016/11","1.36"
"2016/12","1.52"
"2017/01","1.49"
"2017/02","1.46"
"2017/03","1.45"
"2017/04","1.43"
"2017/05","1.37"
"2017/06","1.43"
"2017/07","1.41"
"2017/08","1.42"
"2017/09","1.39"
"2017/10","1.41"
"2017/11","1.45"
"2017/12","1.69"
"2018/01","1.74"
"2018/02","1.77"
"2018/03","1.70"
"2018/04","1.78"
"2018/05","1.68"
"2018/06","1.75"
"2018/07","1.78"
"2018/08","1.75"
"2018/09","1.80"
"2018/10","1.76"
"2018/11","1.81"
"2018/12","1.98"
"2019/01","2.10"
"2019/02","2.06"
"2019/03","2.04"
"2019/04","2.03"
"2019/05","2.00"
"2019/06","1.94"
"2019/07","1.85"
"2019/08","1.64"
"2019/09","1.69"
"2019/10","1.71"
"2019/11","1.71"
"2019/12","1.73"
"2020/01","1.67"
"2020/02","1.58"
"2020/03","1.52"
"2020/04","1.28"
"2020/05","1.23"
"2020/06","0.87"
"2020/07","0.86"
"2020/08","0.80"
"2020/09","0.77"
"2020/10","0.85"
"2020/11","0.86"
"2020/12","0.91"
"2021/01","0.88"
"2021/02","0.91"
"2021/03","0.92"
"2021/04","0.91"
"2021/05","0.82"
"2021/06","0.84"
"2021/07","0.89"
"2021/08","1.02"
"2021/09","1.15"
"2021/10","1.19"
"2021/11","1.31"
"2021/12","1.48"
"2022/01","1.58"
"2022/02","1.54"
"2022/03","1.58"
"2022/04","1.75"
"2022/05","1.88"
"2022/06","2.03"
"2022/07","2.58"
"2022/08","2.85"
"2022/09","3.09"